ApplicationName,Avg_Exec_Time,Max_Exec_Time,Planned_Exec_Time,Actual_Exec_Count,Planned_Exec_Count,Actual Count < Planned Count
Cipher.DynaCardCollector,29.37,222.82,1440.0,1,1.0,False
CompressorBase_DailySummary,0.21,1.2,1440.0,1,1.0,False
DynaCardAnalysis,43.03,380.6,60.0,1,24.0,True
ESP_CurrentValue,3.51,35.87,60.0,24,24.0,False
ESP_DailySummary,18.03,132.75,1440.0,1,1.0,False
ESP_Exception,4.05,22.03,60.0,24,24.0,False
ESP_HourlySummary,4.03,45.67,60.0,22,24.0,True
ETL BACKFILL,3.27,15.83,720.0,0,2.0,True
ETL DAILY SUMMARY ESP US PROD,0.95,2.1,720.0,2,2.0,False
ETL DAILY SUMMARY FLOWING US PROD,1.02,2.42,720.0,2,2.0,False
ETL DAILY SUMMARY GASCOMP US PROD,2.85,12.57,720.0,2,2.0,False
ETL DAILY SUMMARY GASLIFT US PROD,1.17,2.73,720.0,2,2.0,False
ETL DAILY SUMMARY INJECTION US PROD,1.87,4.42,720.0,2,2.0,False
ETL DAILY SUMMARY RODPUMP US PROD,4.01,16.75,720.0,2,2.0,False
ETL EQUIPMENT ESP US PROD,2.46,6.62,720.0,2,2.0,False
ETL INSTALLSENSOR US PROD,2.51,6.68,720.0,2,2.0,False
ETL PRI ESP US PROD,2.58,6.75,720.0,2,2.0,False
ETL PRI FLOWING US PROD,2.64,6.85,720.0,2,2.0,False
ETL PRI GASLIFT US PROD,2.7,6.92,720.0,2,2.0,False
ETL PRI INJECTION US PROD,2.8,7.03,720.0,2,2.0,False
ETL PRI RODPUMP US PROD,2.94,7.18,720.0,2,2.0,False
ETL PRI WELL US PROD,3.12,7.38,720.0,2,2.0,False
ETL RODPUMP CYCLE HISTORY US PROD,6.77,18.95,720.0,2,2.0,False
ETL WELLBORE US PROD,6.79,18.83,720.0,2,2.0,False
ETL WELLPERFORMANCETARGET US PROD,6.85,18.92,720.0,2,2.0,False
ETL WTV_FIRST_FLUID_DATE US PROD,1.35,10.28,720.0,2,2.0,False
ETL WTV_SOURCE US PROD,6.86,18.88,720.0,2,2.0,False
Flowing_CurrentValue,1.78,26.12,60.0,24,24.0,False
Flowing_DailySummary,0.73,2.73,1440.0,1,1.0,False
Flowing_Exception,2.26,11.73,60.0,24,24.0,False
Flowing_HourlySummary,0.9,30.58,60.0,22,24.0,True
Gaslift_CurrentValue,0.28,9.23,60.0,24,24.0,False
GasLift_DailySummary,1.38,9.95,1440.0,1,1.0,False
Gaslift_Exception,1.56,8.3,60.0,24,24.0,False
Gaslift_HourlySummary,0.44,17.05,60.0,23,24.0,True
Injection_DailySummary,40.4,190.75,1440.0,1,1.0,False
PIAttributeMapExport,43.12,89.57,120.0,0,12.0,True
RodPump_CurrentValue,29.28,69.93,60.0,1,24.0,True
Rodpump_DailySummary,97.99,246.08,1440.0,2,1.0,False
RodPump_Exception,41.71,63.98,1440.0,1,1.0,False
RodPump_HourlySummary,31.31,210.25,60.0,22,24.0,True
RodpumpCycleHistory,13.49,43.73,1440.0,1,1.0,False
WellTestValidation,2.7,13.25,60.0,24,24.0,False
